h\d,40,60,80,100,120,140,160,180
150,,0.76,0.75,0.69,0.66,0.64,0.63,0.62
155,,0.68,0.71,0.64,0.63,0.6,0.6,0.6
160,0.65,0.61,0.63,0.59,0.58,0.57,0.57,0.56
165,0.53,0.54,0.56,0.54,0.54,0.54,0.53,0.54
170,0.47,0.48,0.5,0.49,0.5,0.5,0.51,0.5
175,0.33,0.37,0.45,0.42,0.44,0.45,0.47,0.48
180,0.22,0.28,0.38,0.37,0.4,0.42,0.43,0.45
185,,0.2,0.32,0.33,0.36,0.39,0.41,0.43
190,,0.13,0.26,0.25,0.31,0.34,0.37,0.39
